Artist,Song Title,Album,Year,Top topic,Second topic,third topic,fourth topic,fifth topic
Eminem,Hailie's Song,The Eminem Show,2002,storytelling,society,life,biology,biology
Run the Jewels,2100,Run The Jewels 3,2016,storytelling,society,life,biology,biology
Wu-Tang Clan,Ruckus In B Minor,A Better Tomorrow,2014,storytelling,society,life,biology,biology
Beastie Boys,The Update,Ill Communication,1994,society,storytelling,life,biology,biology
Lil Wayne,Without You,Free Weezy Album,2015,society,storytelling,life,biology,biology
LL Cool J,Love U Better,chemistry,2002,society,storytelling,life,biology,biology
LL Cool J,Speedin' On Da Highway  Exit 13,Exit 13,2008,society,storytelling,life,biology,biology
Snoop Dogg,Remedy[Deluxe Edition Bonus Track],Reincarnated,2013,society,storytelling,life,biology,biology
Snoop Dogg,Terradectacal,That's My Work 3,2014,society,storytelling,life,biology,biology
De La Soul,Pain,And The Anonymous Nobody,2016,society,life,music,biology,biology
Eric B & Rakim,Move The Crowd,Paid In Full,1987,society,life,music,biology,biology
Wu-Tang Clan,Fel,A Better Tomorrow,2014,society,life,music,biology,biology
Ice Cube,Once Upon A Time In The Projects,AmeriKKKa's Most Wanted,1990,life,society,music,biology,biology
Lil Wayne,No Worries,Dedication 4,2012,life,society,music,biology,biology
Lil Wayne,No Worries,I Am Not A Human Being II,2013,life,society,music,biology,biology
Nas,Sekou Story,Street's Disciple,2004,life,society,music,biology,biology
Eminem,Dead Wrong (Remix),Curtain Call,2005,life,storytelling,music,biology,biology
Eminem,Under The Influence,The Marshall Mathers LP,2000,life,storytelling,music,biology,biology
Coolio,2 Minutes &amp; 21 Seconds Of Funk,My Soul,1997,society,storytelling,music,biology,biology
Snoop Dogg,The Way Life Used To Be,Doggumentary,2011,society,storytelling,music,biology,biology
Busta Rhymes,Busta Rhymes Back On My BS I'm A Go And Get My,Back On My B.S.,2009,life,society,religion,biology,biology
Nas,The Black Bond[Deluxe Edition Bonus Track],Life Is Good,2012,society,storytelling,religion,biology,biology
Outkast,Outkast Speakerboxxx  The Love Below God (Interlude),Speakerboxxx / The Love Below,2003,society,storytelling,religion,biology,biology
Ice Cube,A History Of Violence (Skit),"Laugh Now, Cry Later",2006,life,politics,revolution,biology,biology
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter Dope Man,Vol. 3... Life And Times Of S. Carter,1999,life,government,society,biology,biology
Jay-Z,Bitches &amp; Sisters,The Blueprint 2: The Gift &amp; The Curse,2002,music,life,society,biology,biology
Busta Rhymes,Bad Dreams,Genesis,2001,storytelling,life,society,biology,biology
Run-DMC,Tougher Than Leather,Tougher Than Leather,1988,storytelling,life,society,biology,biology
Slum Village,Turnin Me Off,Dirty Slums,2012,storytelling,life,society,biology,biology
Outkast,Outkast Speakerboxxx  The Love Below Bamboo (Interlude),Speakerboxxx / The Love Below,2003,music,music,society,biology,biology
Wu-Tang Clan,It's Yourz,Wu-Tang Forever,1997,storytelling,music,society,biology,biology
Busta Rhymes,You Ain't Fuckin' Wit Me,Genesis,2001,music,religion,society,biology,biology
Run the Jewels,Talk To Me,Run The Jewels 3,2016,life,storytelling,society,biology,biology
Run the Jewels,Banana Clipper,Run The Jewels,2013,life,storytelling,society,biology,biology
Beastie Boys,Bodhisattva Vow,Ill Communication,1994,society,storytelling,society,biology,biology
De La Soul,Drawn,And The Anonymous Nobody,2016,society,art,storytelling,biology,biology
2 Live Crew,With Your Badself,Move Somethin',1987,society,life,storytelling,biology,biology
Busta Rhymes,Adorn,Catastrophic,2012,society,life,storytelling,biology,biology
Busta Rhymes,Renaissance Rap (Remix),The Abstract And The Dragon,2014,society,life,storytelling,biology,biology
De La Soul,Foolin',Art Official Intelligence: Mosaic Thump,2000,society,life,storytelling,biology,biology
Eminem,Lose Yourself,Curtain Call,2005,society,life,storytelling,biology,biology
Eminem,Asshole,The Marshall Mathers LP 2,2013,society,life,storytelling,biology,biology
Jay-Z,Regrets,Reasonable Doubt,1996,society,life,storytelling,biology,biology
Nas,We Will Survive,I Am,1999,society,life,storytelling,biology,biology
NWA,Appetite For Destruction,Efil4zaggin,1991,society,life,storytelling,biology,biology
Tupac,Keep Ya Head Up,Greatest Hits,1998,society,life,storytelling,biology,biology
Tupac,Tupac Strictly 4 My NIGGAZ Keep Ya Head Up,Strictly 4 My N.I.G.G.A.Z.,1993,society,life,storytelling,biology,biology
2 Live Crew,"H-B-C (Head, Booty, and Cock)",Move Somethin',1987,culture,music,storytelling,biology,biology
A Tribe Called Quest,Push It Along,People's Instinctive Travels and the Paths of Rhythm,1990,society,music,storytelling,biology,biology
Slum Village,Closer,Detroit Deli (A Taste Of Detroit),2004,society,music,storytelling,biology,biology
Tupac,Ghetto Star,Better Dayz,2002,life,society,storytelling,biology,biology
Tupac,Young Niggaz,Me Against The World,1995,life,society,storytelling,biology,biology
Nas,Purple,The Lost Tapes,2002,storytelling,society,life,chemistry,biology
Outkast,Intro,Idlewild,2006,society,music,art,culture,biology
Tupac,Tradin War Stories,All Eyez On Me,1996,society,life,biology,culture,biology
De La Soul,DAISY AGE,3 Feet High And Rising,1989,society,storytelling,biology,culture,biology
Snoop Dogg,Run Away,Bush,2015,society,storytelling,culture,culture,biology
Jay-Z,Excuse Me Miss,The Blueprint 2: The Gift &amp; The Curse,2002,society,music,life,culture,biology
Beastie Boys,Mark On The Bus,Check Your Head,1992,storytelling,society,life,culture,biology
Lil Wayne,Magic,Dedication 4,2012,storytelling,society,life,culture,biology
Lil Wayne,Drunk In Love,Sorry 4 The Wait 2,2015,society,storytelling,life,culture,biology
"Tyler, the Creator",Awkward,Wolf,2013,society,storytelling,life,culture,biology
Ice Cube,2 Decades Ago (Skit),"Laugh Now, Cry Later",2006,society,storytelling,math,culture,biology
Slum Village,EZ Up,Slum Village,2005,storytelling,culture,music,culture,biology
A Tribe Called Quest,Phony Rappers,Beats Rhymes and Life,1996,society,life,music,culture,biology
NWA,1-900-2-Compton,Efil4zaggin,1991,religion,society,music,culture,biology
Kanye West,Low Lights,The Life Of Pablo,2016,storytelling,society,music,culture,biology
Nas,You Won't See Me Tonigh,I Am,1999,storytelling,society,music,culture,biology
Jay-Z,44 Fours[iTunes Bonus Track],Kingdom Come,2006,storytelling,biology,society,culture,biology
A Tribe Called Quest,Skypager,The Low End Theory,1991,society,life,society,culture,biology
Outkast,Return of the &quot;G&quot;,Aquemini,1998,society,life,society,culture,biology
Snoop Dogg,DOG's Get Lonely 2,"The Game Is To Be Sold, Not To Be Told",1998,society,life,society,culture,biology
Tupac,I Wonder If Heaven Got A Ghetto,R U Still Down? (Remember Me),1997,storytelling,life,society,culture,biology
Outkast,True Dat (Interlude),Southernplayalisticadillacmuzik,1994,society,math,society,culture,biology
Tupac,Baby Don't Cry (Keep Ya Head Up II),Still I Rise,1999,life,storytelling,society,culture,biology
Kanye West,Addiction,Late Registration,2005,society,life,storytelling,culture,biology
Snoop Dogg,Gold Rush,Tha Doggfather,1996,society,life,storytelling,culture,biology
The Notorius BIG,Mi Casa,Duets: The Final Chapter,2005,music,society,storytelling,culture,biology
Nas,Sly Fo,Untitled,2008,society,society,storytelling,culture,biology
Outkast,Welcome to Atlanta (Interlude),Southernplayalisticadillacmuzik,1994,geography,society,war,culture,biology
Busta Rhymes,Busta Rhymes Back On My BS Shoot For The Moon,Back On My B.S.,2009,society,storytelling,government,geography,biology
Tupac,To Live &amp; Die In LA,Greatest Hits,1998,storytelling,society,life,geography,biology
Tupac,To Live &amp; Die In LA (1),Makaveli - The Don Killuminati: The 7 Day Theory,1996,storytelling,society,life,geography,biology
Tupac,To Live &amp; Die In LA,Makaveli - The Don Killuminati: The 7 Day Theory,1996,storytelling,society,life,geography,biology
Wu-Tang Clan,Sunshower,Wu-Tang Forever,1997,storytelling,society,life,geography,biology
Eminem,Psychopath Killer,Shady XV,2014,society,storytelling,life,geography,biology
NWA,Automobile,Efil4zaggin,1991,storytelling,society,music,geography,biology
"Tyler, the Creator","OKAGA, CA",Cherry Bomb,2015,storytelling,society,music,geography,biology
Wu-Tang Clan,Pioneer The Frontier,A Better Tomorrow,2014,storytelling,society,music,geography,biology
2 Live Crew,Skeeta Man,Shake a Lil' Somethin',1996,society,storytelling,music,geography,biology
Jay-Z,Jay-Z In My Lifetime Vol 1 Who You Wit II,In My Lifetime Vol. 1,1997,society,storytelling,music,geography,biology
Lil Wayne,Tie My Hands,Tha Carter III,2008,society,storytelling,music,geography,biology
Busta Rhymes,Wild Ho,The Abstract And The Dragon,2014,storytelling,society,religion,geography,biology
Beastie Boys,Tadlock's Glasses,Hot Sauce Committee Part Two,2011,music,life,society,geography,biology
Beastie Boys,Time To Get Ill,Licensed To Ill,1986,life,music,society,geography,biology
Outkast,Outkast Speakerboxxx  The Love Below Hey Ya,Speakerboxxx / The Love Below,2003,storytelling,music,society,geography,biology
Lil Wayne,Magic (1),Dedication 3,2008,life,storytelling,society,geography,biology
Lil Wayne,Magic,Dedication 3,2008,life,storytelling,society,geography,biology
Busta Rhymes,Ill Vibe,The Abstract And The Dragon,2014,society,life,storytelling,geography,biology
Busta Rhymes,Ill Vibe,The Coming,1996,society,life,storytelling,geography,biology
Wu-Tang Clan,Laced Cheeba,Legendary Weapons,2011,society,life,storytelling,geography,biology
Run-DMC,Naughty,Back From Hell,1990,life,society,storytelling,geography,biology
Slum Village,SOUL,"Trinity (Past, Present And Future)",2002,society,life,biology,government,biology
Public Enemy,World Tour Sessions,There's A Poison Goin On,1999,society,government,culture,government,biology
Snoop Dogg,Life Of Da Party,Ego Trippin',2008,storytelling,society,geography,government,biology
Busta Rhymes,Partition Remi,Catastrophic 2,2014,society,music,life,government,biology
Outkast,Chonkyfire,Aquemini,1998,society,music,life,government,biology
Lil Wayne,Grown Man,Lights Out,2000,society,storytelling,life,government,biology
Eric B & Rakim,Set 'Em Straigh,Let The Rhythm Hit 'Em,1990,society,life,music,government,biology
Jay-Z,The Prelude,Kingdom Come,2006,society,life,music,government,biology
Drake,Fear[from &quot;So Far Gone&quot; EP],So Far Gone,2009,society,storytelling,music,government,biology
Ice Cube,Ice Cube War &amp; Peace Vol 1: The War Disc Penitentiary,War &amp; Peace Vol. 1: The War Disc,1998,society,storytelling,music,government,biology
MC Hammer,Funky Headhunter,The Funky Headhunter,1994,society,storytelling,music,government,biology
Kendrick Lamar,Uncle Bobby &amp; Jason Keaton,Kendrick Lamar,2009,life,society,politics,government,biology
A Tribe Called Quest,Lyrics To Go,Midnight Marauders,1993,music,life,society,government,biology
Run-DMC,It's Not Funny,King Of Rock,1985,storytelling,life,society,government,biology
Coolio,Geto Highlites,Gangsta's Paradise,1995,life,storytelling,society,government,biology
Jay-Z,Never Change,The Blueprint,2001,society,life,storytelling,government,biology
Lil Wayne,Cream,Dedication 5,2013,life,society,storytelling,government,biology
Eminem,We Made You,Relapse,2009,society,storytelling,art,life,biology
Jay-Z,Hate,The Blueprint 3,2009,society,storytelling,art,life,biology
Snoop Dogg,That Tree,More Malice,2010,society,storytelling,art,life,biology
Nas,World's An Addiction,Life Is Good,2012,society,life,biology,life,biology
Busta Rhymes,Bleed The Same Blood,Year Of The Dragon,2012,music,society,biology,life,biology
De La Soul,Afro Connections At A Hi 5 (In The Eyes Of The Hoodlum),De La Soul Is Dead,1991,storytelling,society,biology,life,biology
Drake,Fancy,Thank Me Later,2010,storytelling,society,biology,life,biology
Lil Wayne,My Heart Races On,Free Weezy Album,2015,storytelling,society,biology,life,biology
Eminem,Space Bound,Recovery,2010,society,storytelling,biology,life,biology
Public Enemy,Meet The G That Killed Me,Fear Of A Black Planet,1990,society,storytelling,biology,life,biology
Wu-Tang Clan,Odyssey[Bonus Track],Killa Beez: The Sting,2002,society,storytelling,biology,life,biology
Busta Rhymes,You Can't Hold The Torch,The Abstract And The Dragon,2014,society,music,culture,life,biology
Busta Rhymes,You Can't Hold The Torch,The Big Bang,2006,society,music,culture,life,biology
Kanye West,Welcome To Heartbreak,808s &amp; Heartbreak,2008,storytelling,society,culture,life,biology
LL Cool J,Lollipop,chemistry,2002,storytelling,society,culture,life,biology
Snoop Dogg,Ten Toes Down,COOLAID,2016,society,storytelling,culture,life,biology
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 Punishmen","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,storytelling,society,geography,life,biology
Snoop Dogg,Revolution,COOLAID,2016,storytelling,culture,government,life,biology
Eminem,Soldier,The Eminem Show,2002,society,storytelling,government,life,biology
LL Cool J,Mr Presiden,Exit 13,2008,society,storytelling,government,life,biology
De La Soul,Poetic Greed,Are You In?: Nike + Original Run,2009,society,biology,life,life,biology
Wu-Tang Clan,Weak Spo,8 Diagrams,2007,society,biology,life,life,biology
Drake,Still Got I,Young Sweet Jones,2010,society,life,life,life,biology
Busta Rhymes,Elevator Music,Catastrophic,2012,society,music,life,life,biology
Eminem,The People's Champ (Intro),Straight From The Vault,2011,society,music,life,life,biology
Ice Cube,Get Off My Dick And Tell Yo Bitch To Come Here,AmeriKKKa's Most Wanted,1990,society,music,life,life,biology
Coolio,C U When U Get There,My Soul,1997,storytelling,society,life,life,biology
Drake,Take Care,Take Care,2011,storytelling,society,life,life,biology
Drake,Jumpman,What A Time To Be Alive,2015,storytelling,society,life,life,biology
Eminem,Bad Meets Evil,Slim Shady LP,1999,storytelling,society,life,life,biology
Ice Cube,We Had To Tear This Muthafucka Up,The Predator,1992,storytelling,society,life,life,biology
Tupac,Fair Xchange (Remix),Better Dayz,2002,storytelling,society,life,life,biology
Tupac,A Crooked Nigga Too (Raphael Saadiq Remix),Loyal To The Game,2004,storytelling,society,life,life,biology
Busta Rhymes,Busta Rhymes It Ain't Safe No More Call The Ambulance,It Ain't Safe No More...,2002,music,storytelling,life,life,biology
A Tribe Called Quest,Buggin' Ou,The Anthology,1999,society,storytelling,life,life,biology
A Tribe Called Quest,Buggin' Ou,The Low End Theory,1991,society,storytelling,life,life,biology
Dr Dre,Just Another Day,Compton,2015,society,storytelling,life,life,biology
Eminem,My Darling[Digital bonus track],Relapse,2009,society,storytelling,life,life,biology
LL Cool J,"Don't Be Late, Don't Come Too Soon",Phenomenon,1997,society,storytelling,life,life,biology
Nas,The Makings Of A Perfect Bitch,Street's Disciple,2004,society,storytelling,life,life,biology
Slum Village,Dirty,Detroit Deli (A Taste Of Detroit),2004,society,storytelling,life,life,biology
Slum Village,"Slum Village Fantastic, Vol 2 Hold Tigh","Fantastic, Vol. 2",2000,society,storytelling,life,life,biology
Snoop Dogg,I Believe In You,Paid Tha Cost To Be Da Boss,2002,society,storytelling,life,life,biology
The Notorius BIG,I'm With Whateva,Duets: The Final Chapter,2005,society,storytelling,life,life,biology
Nas,My Generation,Distant Relatives,2010,society,storytelling,life,life,biology
MC Hammer,Gaining Momentum,Too Legit To Quit,1991,society,geography,math,life,biology
Drake,Bad Meanin' Good,Room For Improvement,2006,society,storytelling,meanings,life,biology
Busta Rhymes,All Gold Everything,Catastrophic,2012,society,culture,music,life,biology
Drake,Feel No Ways,Views,2016,society,life,music,life,biology
Ice Cube,Steady Mobbin,Death Certificate,1991,society,life,music,life,biology
Ice Cube,Gangsta Fairytale 2,The Predator,1992,storytelling,life,music,life,biology
Snoop Dogg,Can U Control Yo Hoe,R &amp; G (Rhythm &amp; Gangsta): The Masterpiece,2004,life,society,music,life,biology
Dr Dre,Got Me Open,The Aftermath,1996,storytelling,society,music,life,biology
Eminem,No Love,Recovery,2010,storytelling,society,music,life,biology
Kanye West,Hey Mama,Late Registration,2005,storytelling,society,music,life,biology
LL Cool J,How I'm Comin',14 Shots To The Dome,1993,storytelling,society,music,life,biology
LL Cool J,357-Break It On Down,Bigger &amp; Deffer,1987,storytelling,society,music,life,biology
Outkast,Outkast Speakerboxxx  The Love Below The Way You Move,Speakerboxxx / The Love Below,2003,storytelling,society,music,life,biology
Outkast,Outkast Speakerboxxx  The Love Below Vibrate,Speakerboxxx / The Love Below,2003,storytelling,society,music,life,biology
Slum Village,Rio,Dirty Slums 2,2013,storytelling,society,music,life,biology
Slum Village,Rio,Evolution,2013,storytelling,society,music,life,biology
Snoop Dogg,Oh No,R &amp; G (Rhythm &amp; Gangsta): The Masterpiece,2004,storytelling,society,music,life,biology
Tupac,This Ain't Livin,Until The End Of Time (Disc Two),2001,storytelling,society,music,life,biology
Wu-Tang Clan,Wolves,8 Diagrams,2007,storytelling,society,music,life,biology
Beastie Boys,The New Style,Licensed To Ill,1986,life,storytelling,music,life,biology
Lil Wayne,Where Ya A,No Ceilings 2,2015,life,storytelling,music,life,biology
2 Live Crew,Be My Private Dancer,Shake a Lil' Somethin',1996,society,storytelling,music,life,biology
2 Live Crew,Ride With Me (Bottom Style),The Real One,1998,society,storytelling,music,life,biology
Beastie Boys,The Negotiation Limerick File,Hello Nasty,1998,society,storytelling,music,life,biology
Coolio,N Da Close,It Takes A Thief,1994,society,storytelling,music,life,biology
Drake,Don't You Have A Man,Comeback Season,2007,society,storytelling,music,life,biology
Drake,Congratulations[Bonus Track],So Far Gone,2009,society,storytelling,music,life,biology
Drake,Digital Dash,What A Time To Be Alive,2015,society,storytelling,music,life,biology
Eminem,Going Through Changes,Recovery,2010,society,storytelling,music,life,biology
Eminem,Berzerk,The Marshall Mathers LP 2,2013,society,storytelling,music,life,biology
Eminem,The Monster,The Marshall Mathers LP 2,2013,society,storytelling,music,life,biology
Jay-Z,Cashmere Thoughts,Reasonable Doubt,1996,society,storytelling,music,life,biology
Kendrick Lamar,Kendrick Lamar Section80 No Make-Up (Her Vice),Section.80,2011,society,storytelling,music,life,biology
Lil Wayne,Walk It Ou,Da Drought 3,2007,society,storytelling,music,life,biology
Lil Wayne,Breakin' My Hear,The Drought Is Over Part 4,2007,society,storytelling,music,life,biology
LL Cool J,Pink Cookies,14 Shots To The Dome,1993,society,storytelling,music,life,biology
MC Hammer,On Your Face,Please Hammer Don't Hurt 'Em,1990,society,storytelling,music,life,biology
Outkast,Outkast Speakerboxxx  The Love Below Happy Valentine's Day,Speakerboxxx / The Love Below,2003,society,storytelling,music,life,biology
Snoop Dogg,Dogghouse In Your Mouth,Duces 'N Trayz - The Old Fashioned Way,2001,society,storytelling,music,life,biology
Snoop Dogg,From Long Beach 2 Brick City,Paid Tha Cost To Be Da Boss,2002,society,storytelling,music,life,biology
Tupac,Still Ballin,Better Dayz,2002,society,storytelling,music,life,biology
Tupac,Tupac Strictly 4 My NIGGAZ 5 Deadly Venomz,Strictly 4 My N.I.G.G.A.Z.,1993,society,storytelling,music,life,biology
Tupac,Tupac Strictly 4 My NIGGAZ Something 2 Die 4 (Interlude),Strictly 4 My N.I.G.G.A.Z.,1993,society,storytelling,music,life,biology
Wu-Tang Clan,Wu-Tang Clan Dreddy Kruger Presents Think Differently Music: Wu-tang Meets The Indie Culture Fragements,Dreddy Kruger Presents... Think Differently Music: Wu-tang Meets The Indie Culture,2005,society,storytelling,music,life,biology
Public Enemy,Most Of My Heroes Still,Most Of My Heroes Still Don't Appear On No Stamp,2012,society,culture,mythology,life,biology
A Tribe Called Quest,A Tribe Called Quest We Got It From Here Thank You 4 Your Service Dis Generation,We Got It From Here... Thank You 4 Your Service,2016,life,society,politics,life,biology
Kendrick Lamar,Heaven &amp; Hell,Overly Dedicated,2010,storytelling,society,politics,life,biology
Kanye West,New Slaves,Yeezus,2013,society,government,religion,life,biology
Dr Dre,Animals,Compton,2015,society,storytelling,religion,life,biology
Jay-Z,Pray,American Gangster,2007,society,storytelling,religion,life,biology
Kanye West,Devil In A New Dress,My Beautiful Dark Twisted Fantasy,2010,society,storytelling,religion,life,biology
Snoop Dogg,Conversations (1),Tha Blue Carpet Treatment,2006,society,storytelling,religion,life,biology
Snoop Dogg,Conversations,Tha Blue Carpet Treatment,2006,society,storytelling,religion,life,biology
Lil Wayne,Poke Her Face,No Ceilings,2009,storytelling,geography,society,life,biology
The Notorius BIG,Ready To Die,Ready To Die,1994,music,life,society,life,biology
Beastie Boys,Long Burn The Fire,Hot Sauce Committee Part Two,2011,storytelling,life,society,life,biology
De La Soul,3 Days Later,Buhloone Mind State,1993,storytelling,life,society,life,biology
